"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AtlQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","A","20220101","2022","52","2022","97","EUR","European Union","MIP","Import of goods for inward processing","108","BDI","Burundi","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","1926.026",,"1926.026","0","false","true",
"C","A","20220101","2022","52","2022","97","EUR","European Union","MIP","Import of goods for inward processing","112","BLR","Belarus","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","134088983.762",,"134088983.762","0","false","true",
"C","A","20220101","2022","52","2022","97","EUR","European Union","MIP","Import of goods for inward processing","116","KHM","Cambodia","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","1052247.26",,"1052247.26","4","false","true",
"C","A","20220101","2022","52","2022","97","EUR","European Union","MIP","Import of goods for inward processing","120","CMR","Cameroon","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","1188605.474",,"1188605.474","4","false","true",
"C","A","20220101","2022","52","2022","97","EUR","European Union","MIP","Import of goods for inward processing","124","CAN","Canada","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","870906423.585",,"870906423.585","4","false","true",
"C","A","20220101","2022","52","2022","97","EUR","European Union","MIP","Import of goods for inward processing","132","CPV","Cabo Verde","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","241494.589",,"241494.589","0","false","true",
"C","A","20220101","2022","52","2022","97","EUR","European Union","MIP","Import of goods for inward processing","136","CYM","Cayman Isds","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","117913398.61",,"117913398.61","4","false","true",
"C","A","20220101","2022","52","2022","97","EUR","European Union","MIP","Import of goods for inward processing","144","LKA","Sri Lanka","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","12952457.08",,"12952457.08","4","false","true",
"C","A","20220101","2022","52","2022","97","EUR","European Union","MIP","Import of goods for inward processing","152","CHL","Chile","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","8732130.919",,"8732130.919","4","false","true",
"C","A","20220101","2022","52","2022","97","EUR","European Union","MIP","Import of goods for inward processing","156","CHN","China","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","36002236188.088",,"36002236188.088","4","false","true",
